university_code,name
NTRUHS,"Andhra Medical College, Visakhapatnam"
NTRUHS,"Guntur Medical College, Guntur"
NTRUHS,"Kurnool Medical College, Kurnool"
NTRUHS,"Rangaraya Medical College, Kakinada"
NTRUHS,"S.V. Medical College, Tirupati"
NTRUHS,"Government Medical College, Ananthapuram"
NTRUHS,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam"
NTRUHS,ACSR Government Medical College
NTRUHS,"Government Medical College, Kadapa (formerly RIMS Kadapa)"
NTRUHS,"Government Siddhartha Medical College, Vijayawada"
NTRUHS,"Government Medical College, Eluru"
NTRUHS,"Government Medical College, Machilipatnam"
NTRUHS,"Government Medical College, Nandyal"
NTRUHS,"Government Medical College, Ongole (formerly RIMS Ongole)"
NTRUHS,"Government Medical College, Rajamahendravaram"
NTRUHS,"Government Medical College, Vizianagaram"
NTRUHS,"Government Medical College, Paderu"
NTRUHS,"Government Medical College, Piduguralla"
NTRUHS,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru"
NTRUHS,"GSL Medical College, Rajahmundry"
NTRUHS,"Narayana Medical College, Nellore"
NTRUHS,"NRI Institute of Medical Sciences, Visakhapatnam"
NTRUHS,"Santhiram Medical College, Nandyal"
NTRUHS,Viswabharathi Medical College
NTRUHS,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam"
NTRUHS,"Konaseema Institute of Medical Sciences & Research Foundation, Amalapuram"
NTRUHS,"Maharajah Institute of Medical Sciences, Vizianagaram"
NTRUHS,"Nimra Institute of Medical Sciences, Krishna District"
NTRUHS,"NRI Medical College, Guntur"
NTRUHS,Anna Gowri Medical College and Hospital
NTRUHS,"Apollo Institute of Medical Sciences and Research, Chittoor"
NTRUHS,"Dr. P.S.I. Medical College, Chinoutpalli"
NTRUHS,"Great Eastern Medical School and Hospital, Srikakulam"
NTRUHS,"Katuri Medical College, Guntur"
NTRUHS,"P.E.S. Institute of Medical Sciences and Research, Kuppam"
NTRUHS,"Sri Balaji Medical College, Hospital and Research Institute, Chittoor"
NTRUHS,"Fathima Institute of Medical Sciences, Kadapa"
NTRUHS,RVS Institute of Medical Sciences
