question_external_id,paper_external_id
Q-ANAT-PYQ-001,EP-KUHS-ANAT-2024-P1
Q-ANAT-PYQ-001,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-001,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-002,EP-KUHS-ANAT-2024-P1
Q-ANAT-PYQ-001,EP-KUHS-ANAT-2025-P1
Q-ANAT-PYQ-002,EP-KUHS-ANAT-2022-P1
Q-ANAT-PYQ-003,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-003,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-003,EP-KUHS-ANAT-2025-P1
Q-ANAT-PYQ-004,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-004,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-004,EP-KUHS-ANAT-2025-P1
Q-ANAT-PYQ-005,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-005,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-005,EP-KUHS-ANAT-2025-P1
Q-ANAT-PYQ-006,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-006,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-006,EP-KUHS-ANAT-2025-P1
Q-ANAT-PYQ-007,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-007,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-007,EP-KUHS-ANAT-2025-P1
Q-ANAT-PYQ-008,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-008,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-008,EP-KUHS-ANAT-2025-P1
Q-ANAT-PYQ-009,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-009,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-009,EP-KUHS-ANAT-2025-P1
Q-ANAT-PYQ-010,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-010,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-010,EP-KUHS-ANAT-2025-P1
Q-ANAT-PYQ-011,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-011,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-011,EP-KUHS-ANAT-2025-P1
Q-ANAT-PYQ-012,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-012,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-012,EP-KUHS-ANAT-2025-P1
Q-ANAT-PYQ-013,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-013,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-013,EP-KUHS-ANAT-2025-P1
Q-ANAT-PYQ-014,EP-KUHS-ANAT-2021-P1
Q-ANAT-PYQ-014,EP-KUHS-ANAT-2023-P1
Q-ANAT-PYQ-014,EP-KUHS-ANAT-2025-P1
Q-PHYS-PYQ-001,EP-KUHS-PHYS-2021-P1
Q-PHYS-PYQ-001,EP-KUHS-PHYS-2023-P1
Q-PHYS-PYQ-001,EP-KUHS-PHYS-2025-P1
Q-PHYS-PYQ-002,EP-KUHS-PHYS-2024-P1
Q-PHYS-PYQ-003,EP-KUHS-PHYS-2021-P1
Q-PHYS-PYQ-003,EP-KUHS-PHYS-2023-P1
Q-PHYS-PYQ-003,EP-KUHS-PHYS-2025-P1
Q-PHYS-PYQ-004,EP-KUHS-PHYS-2021-P1
Q-PHYS-PYQ-004,EP-KUHS-PHYS-2023-P1
Q-PHYS-PYQ-004,EP-KUHS-PHYS-2025-P1
Q-PHYS-PYQ-005,EP-KUHS-PHYS-2021-P1
Q-PHYS-PYQ-005,EP-KUHS-PHYS-2023-P1
Q-PHYS-PYQ-005,EP-KUHS-PHYS-2025-P1
Q-PHYS-PYQ-006,EP-KUHS-PHYS-2021-P1
Q-PHYS-PYQ-006,EP-KUHS-PHYS-2023-P1
Q-PHYS-PYQ-006,EP-KUHS-PHYS-2025-P1
Q-PHYS-PYQ-007,EP-KUHS-PHYS-2021-P1
Q-PHYS-PYQ-007,EP-KUHS-PHYS-2023-P1
Q-PHYS-PYQ-007,EP-KUHS-PHYS-2025-P1
Q-PHYS-PYQ-008,EP-KUHS-PHYS-2024-P1
Q-PHYS-PYQ-009,EP-KUHS-PHYS-2021-P1
Q-PHYS-PYQ-009,EP-KUHS-PHYS-2023-P1
Q-PHYS-PYQ-009,EP-KUHS-PHYS-2025-P1
Q-PHYS-PYQ-010,EP-KUHS-PHYS-2024-P1
Q-PHYS-PYQ-011,EP-KUHS-PHYS-2021-P1
Q-PHYS-PYQ-011,EP-KUHS-PHYS-2023-P1
Q-PHYS-PYQ-011,EP-KUHS-PHYS-2025-P1
Q-PHYS-PYQ-012,EP-KUHS-PHYS-2022-P1
Q-BIOC-PYQ-001,EP-KUHS-BIOC-2021-P1
Q-BIOC-PYQ-001,EP-KUHS-BIOC-2023-P1
Q-BIOC-PYQ-001,EP-KUHS-BIOC-2025-P1
Q-BIOC-PYQ-002,EP-KUHS-BIOC-2024-P1
Q-BIOC-PYQ-003,EP-KUHS-BIOC-2021-P1
Q-BIOC-PYQ-003,EP-KUHS-BIOC-2023-P1
Q-BIOC-PYQ-003,EP-KUHS-BIOC-2025-P1
Q-BIOC-PYQ-004,EP-KUHS-BIOC-2024-P1
Q-BIOC-PYQ-005,EP-KUHS-BIOC-2021-P1
Q-BIOC-PYQ-005,EP-KUHS-BIOC-2023-P1
Q-BIOC-PYQ-005,EP-KUHS-BIOC-2025-P1
Q-BIOC-PYQ-006,EP-KUHS-BIOC-2022-P1
Q-BIOC-PYQ-007,EP-KUHS-BIOC-2021-P1
Q-BIOC-PYQ-007,EP-KUHS-BIOC-2023-P1
Q-BIOC-PYQ-007,EP-KUHS-BIOC-2025-P1
Q-BIOC-PYQ-008,EP-KUHS-BIOC-2024-P1
Q-BIOC-PYQ-009,EP-KUHS-BIOC-2021-P1
Q-BIOC-PYQ-009,EP-KUHS-BIOC-2023-P1
Q-BIOC-PYQ-009,EP-KUHS-BIOC-2025-P1
Q-BIOC-PYQ-010,EP-KUHS-BIOC-2024-P1
Q-PATH-PYQ-001,EP-KUHS-PATH-2021-P1
Q-PATH-PYQ-001,EP-KUHS-PATH-2023-P1
Q-PATH-PYQ-001,EP-KUHS-PATH-2025-P1
Q-PATH-PYQ-002,EP-KUHS-PATH-2022-P1
Q-PATH-PYQ-003,EP-KUHS-PATH-2021-P1
Q-PATH-PYQ-003,EP-KUHS-PATH-2023-P1
Q-PATH-PYQ-003,EP-KUHS-PATH-2025-P1
Q-PATH-PYQ-004,EP-KUHS-PATH-2021-P1
Q-PATH-PYQ-004,EP-KUHS-PATH-2023-P1
Q-PATH-PYQ-004,EP-KUHS-PATH-2025-P1
Q-PATH-PYQ-005,EP-KUHS-PATH-2021-P1
Q-PATH-PYQ-005,EP-KUHS-PATH-2023-P1
Q-PATH-PYQ-005,EP-KUHS-PATH-2025-P1
Q-PATH-PYQ-006,EP-KUHS-PATH-2024-P1
Q-PATH-PYQ-007,EP-KUHS-PATH-2021-P1
Q-PATH-PYQ-007,EP-KUHS-PATH-2023-P1
Q-PATH-PYQ-007,EP-KUHS-PATH-2025-P1
Q-PATH-PYQ-008,EP-KUHS-PATH-2022-P1
Q-MICR-PYQ-001,EP-KUHS-MICR-2021-P1
Q-MICR-PYQ-001,EP-KUHS-MICR-2023-P1
Q-MICR-PYQ-001,EP-KUHS-MICR-2025-P1
Q-MICR-PYQ-002,EP-KUHS-MICR-2024-P1
Q-MICR-PYQ-003,EP-KUHS-MICR-2021-P1
Q-MICR-PYQ-003,EP-KUHS-MICR-2023-P1
Q-MICR-PYQ-003,EP-KUHS-MICR-2025-P1
Q-MICR-PYQ-004,EP-KUHS-MICR-2024-P1
Q-MICR-PYQ-005,EP-KUHS-MICR-2021-P1
Q-MICR-PYQ-005,EP-KUHS-MICR-2023-P1
Q-MICR-PYQ-005,EP-KUHS-MICR-2025-P1
Q-MICR-PYQ-006,EP-KUHS-MICR-2022-P1
Q-MICR-PYQ-007,EP-KUHS-MICR-2021-P1
Q-MICR-PYQ-007,EP-KUHS-MICR-2023-P1
Q-MICR-PYQ-007,EP-KUHS-MICR-2025-P1
Q-MICR-PYQ-008,EP-KUHS-MICR-2024-P1
Q-PHAR-PYQ-001,EP-KUHS-PHAR-2021-P1
Q-PHAR-PYQ-001,EP-KUHS-PHAR-2023-P1
Q-PHAR-PYQ-001,EP-KUHS-PHAR-2025-P1
Q-PHAR-PYQ-002,EP-KUHS-PHAR-2024-P1
Q-PHAR-PYQ-003,EP-KUHS-PHAR-2021-P1
Q-PHAR-PYQ-003,EP-KUHS-PHAR-2023-P1
Q-PHAR-PYQ-003,EP-KUHS-PHAR-2025-P1
Q-PHAR-PYQ-004,EP-KUHS-PHAR-2022-P1
Q-PHAR-PYQ-005,EP-KUHS-PHAR-2021-P1
Q-PHAR-PYQ-005,EP-KUHS-PHAR-2023-P1
Q-PHAR-PYQ-005,EP-KUHS-PHAR-2025-P1
Q-PHAR-PYQ-006,EP-KUHS-PHAR-2024-P1
Q-PHAR-PYQ-007,EP-KUHS-PHAR-2021-P1
Q-PHAR-PYQ-007,EP-KUHS-PHAR-2023-P1
Q-PHAR-PYQ-007,EP-KUHS-PHAR-2025-P1
