university_code,name
KUHS,"Government Medical College, Thiruvananthapuram"
KUHS,"Government Medical College, Kozhikode"
KUHS,"Government Medical College, Kottayam"
KUHS,"Government Medical College, Thrissur"
KUHS,"Government Medical College, Kannur (Pariyaram)"
KUHS,"Government Medical College, Ernakulam"
KUHS,"Government Medical College, Kollam"
KUHS,"Government Medical College, Manjeri"
KUHS,"Government Medical College, Idukki"
KUHS,"Government Medical College, Konni"
KUHS,"Government Medical College, Palakkad"
KUHS,"Government Medical College, Wayanad"
KUHS,"Amrita School of Medicine, Kochi"
KUHS,"Jubilee Mission Medical College, Thrissur"
KUHS,"Malankara Orthodox Syrian Church Medical College, Kolenchery"
KUHS,"Pushpagiri Institute of Medical Sciences, Thiruvalla"
KUHS,"Travancore Medical College, Kollam"
KUHS,"Sree Gokulam Medical College, Venjaramoodu"
KUHS,"KMCT Medical College, Kozhikode"
KUHS,"MES Medical College, Perinthalmanna"
KUHS,"Malabar Medical College, Kozhikode"
KUHS,"Azeezia Institute of Medical Sciences, Kollam"
KUHS,"SUT Academy of Medical Sciences, Thiruvananthapuram"
KUHS,"Dr. Somervell Memorial CSI Medical College, Karakonam"
KUHS,"Believers Church Medical College, Thiruvalla"
KUHS,"Al Azhar Medical College, Thodupuzha"
KUHS,"P K Das Institute of Medical Sciences, Ottapalam"
KUHS,"Sree Narayana Institute of Medical Sciences, Ernakulam"
KUHS,"Mount Zion Medical College, Adoor"
KUHS,"Karuna Medical College, Palakkad"
