external_id,university_code,subject_name,exam_year,paper_name,exam_type
EP-KUHS-ANAT-2021-P1,KUHS,Anatomy,2021,Paper I,university
EP-KUHS-ANAT-2021-P2,KUHS,Anatomy,2021,Paper II,university
EP-KUHS-ANAT-2022-P1,KUHS,Anatomy,2022,Paper I,university
EP-KUHS-ANAT-2022-P2,KUHS,Anatomy,2022,Paper II,university
EP-KUHS-ANAT-2023-P1,KUHS,Anatomy,2023,Paper I,university
EP-KUHS-ANAT-2023-P2,KUHS,Anatomy,2023,Paper II,university
EP-KUHS-ANAT-2024-P1,KUHS,Anatomy,2024,Paper I,university
EP-KUHS-ANAT-2024-P2,KUHS,Anatomy,2024,Paper II,university
EP-KUHS-ANAT-2025-P1,KUHS,Anatomy,2025,Paper I,university
EP-KUHS-ANAT-2025-P2,KUHS,Anatomy,2025,Paper II,university
EP-KUHS-ANAT-2024-INT,KUHS,Anatomy,2024,Internal assessment I,internal
EP-KUHS-PHYS-2021-P1,KUHS,Physiology,2021,Paper I,university
EP-KUHS-PHYS-2021-P2,KUHS,Physiology,2021,Paper II,university
EP-KUHS-PHYS-2022-P1,KUHS,Physiology,2022,Paper I,university
EP-KUHS-PHYS-2022-P2,KUHS,Physiology,2022,Paper II,university
EP-KUHS-PHYS-2023-P1,KUHS,Physiology,2023,Paper I,university
EP-KUHS-PHYS-2023-P2,KUHS,Physiology,2023,Paper II,university
EP-KUHS-PHYS-2024-P1,KUHS,Physiology,2024,Paper I,university
EP-KUHS-PHYS-2024-P2,KUHS,Physiology,2024,Paper II,university
EP-KUHS-PHYS-2025-P1,KUHS,Physiology,2025,Paper I,university
EP-KUHS-PHYS-2025-P2,KUHS,Physiology,2025,Paper II,university
EP-KUHS-PHYS-2024-INT,KUHS,Physiology,2024,Internal assessment I,internal
EP-KUHS-BIOC-2021-P1,KUHS,Biochemistry,2021,Paper I,university
EP-KUHS-BIOC-2021-P2,KUHS,Biochemistry,2021,Paper II,university
EP-KUHS-BIOC-2022-P1,KUHS,Biochemistry,2022,Paper I,university
EP-KUHS-BIOC-2022-P2,KUHS,Biochemistry,2022,Paper II,university
EP-KUHS-BIOC-2023-P1,KUHS,Biochemistry,2023,Paper I,university
EP-KUHS-BIOC-2023-P2,KUHS,Biochemistry,2023,Paper II,university
EP-KUHS-BIOC-2024-P1,KUHS,Biochemistry,2024,Paper I,university
EP-KUHS-BIOC-2024-P2,KUHS,Biochemistry,2024,Paper II,university
EP-KUHS-BIOC-2025-P1,KUHS,Biochemistry,2025,Paper I,university
EP-KUHS-BIOC-2025-P2,KUHS,Biochemistry,2025,Paper II,university
EP-KUHS-BIOC-2024-INT,KUHS,Biochemistry,2024,Internal assessment I,internal
EP-KUHS-PATH-2021-P1,KUHS,Pathology,2021,Paper I,university
EP-KUHS-PATH-2021-P2,KUHS,Pathology,2021,Paper II,university
EP-KUHS-PATH-2022-P1,KUHS,Pathology,2022,Paper I,university
EP-KUHS-PATH-2022-P2,KUHS,Pathology,2022,Paper II,university
EP-KUHS-PATH-2023-P1,KUHS,Pathology,2023,Paper I,university
EP-KUHS-PATH-2023-P2,KUHS,Pathology,2023,Paper II,university
EP-KUHS-PATH-2024-P1,KUHS,Pathology,2024,Paper I,university
EP-KUHS-PATH-2024-P2,KUHS,Pathology,2024,Paper II,university
