external_id,topic_name,name,display_order,required_plan,is_active
L-ANAT-UPPER-BRACHIAL,Upper Limb Anatomy,Brachial plexus,1,free,TRUE
L-ANAT-UPPER-HUMERUS,Upper Limb Anatomy,Humerus fractures,2,free,TRUE
L-ANAT-HEAD-LARYNX,Head and Neck Anatomy,Larynx,1,pro,TRUE
L-ANAT-THYROID-GLAND-AND-TRIANGLES-OF-T,Head and Neck Anatomy,Thyroid gland and triangles of the neck,2,free,TRUE
L-ANAT-VISUAL-PATHWAY,Neuroanatomy,Visual pathway,1,free,TRUE
L-ANAT-CIRCLE-OF-WILLIS-AND-CRANIAL-NER,Neuroanatomy,Circle of Willis and cranial nerve nuclei,2,free,TRUE
L-ANAT-GASTRULATION-AND-NOTOCHORD,Embryology,Gastrulation and notochord,1,free,TRUE
L-ANAT-PHARYNGEAL-ARCHES-AND-FETAL-CIRC,Embryology,Pharyngeal arches and fetal circulation,2,free,TRUE
L-ANAT-HEART-AND-CORONARY-ARTERIES,Thorax Anatomy,Heart and coronary arteries,1,free,TRUE
L-ANAT-BRONCHOPULMONARY-SEGMENTS-AND-ME,Thorax Anatomy,Bronchopulmonary segments and mediastinum,2,pro,TRUE
L-ANAT-INGUINAL-CANAL-AND-HERNIA,Abdomen Anatomy,Inguinal canal and hernia,1,free,TRUE
L-ANAT-PORTAL-VEIN-AND-EXTRAHEPATIC-BIL,Abdomen Anatomy,Portal vein and extrahepatic biliary tree,2,free,TRUE
L-ANAT-FEMORAL-TRIANGLE-AND-ADDUCTOR-CA,Lower Limb Anatomy,Femoral triangle and adductor canal,1,free,TRUE
L-ANAT-SCIATIC-NERVE-AND-GLUTEAL-REGION,Lower Limb Anatomy,Sciatic nerve and gluteal region,2,free,TRUE
L-PHYS-CARDIAC-CYCLE-AND-HEART-SOUNDS,Cardiovascular Physiology,Cardiac cycle and heart sounds,1,free,TRUE
L-PHYS-JUGULAR-VENOUS-PULSE-AND-ECG-BAS,Cardiovascular Physiology,Jugular venous pulse and ECG basics,2,free,TRUE
L-PHYS-LUNG-VOLUMES-AND-SPIROMETRY,Respiratory Physiology,Lung volumes and spirometry,1,free,TRUE
L-PHYS-OXYGEN-TRANSPORT-AND-HYPOXIA,Respiratory Physiology,Oxygen transport and hypoxia,2,pro,TRUE
L-PHYS-GFR-AND-CLEARANCE,Renal Physiology,GFR and clearance,1,free,TRUE
L-PHYS-COUNTERCURRENT-MECHANISM-AND-ADH,Renal Physiology,Countercurrent mechanism and ADH,2,free,TRUE
L-PHYS-RESTING-MEMBRANE-POTENTIAL-AND-A,Neurophysiology,Resting membrane potential and action potential,1,free,TRUE
L-PHYS-SYNAPTIC-TRANSMISSION-AND-NEUROM,Neurophysiology,Synaptic transmission and neuromuscular junction,2,free,TRUE
L-PHYS-HYPOTHALAMO-PITUITARY-AXIS,Endocrine Physiology,Hypothalamo-pituitary axis,1,free,TRUE
L-PHYS-THYROID-HORMONE-SYNTHESIS-AND-CA,Endocrine Physiology,Thyroid hormone synthesis and calcium hormones,2,elite,TRUE
L-PHYS-GASTRIC-SECRETION-AND-MOTILITY,Gastrointestinal Physiology,Gastric secretion and motility,1,free,TRUE
L-PHYS-BILE-PANCREAS-AND-SMALL-BOWEL-AB,Gastrointestinal Physiology,"Bile, pancreas and small-bowel absorption",2,pro,TRUE
L-BIOC-GLYCOLYSIS-AND-GLUCONEOGENESIS,Carbohydrate Metabolism,Glycolysis and gluconeogenesis,1,free,TRUE
L-BIOC-GLYCOGEN-STORAGE-DISEASES-AND-PP,Carbohydrate Metabolism,Glycogen storage diseases and PPP,2,free,TRUE
L-BIOC-UREA-CYCLE-AND-HYPERAMMONEMIA,Amino Acid Metabolism,Urea cycle and hyperammonemia,1,free,TRUE
L-BIOC-PHENYLALANINE-TYROSINE-AND-BRANC,Amino Acid Metabolism,"Phenylalanine, tyrosine and branched-chain amino acids",2,free,TRUE
