question_external_id,textbook_key,page,section_heading
Q-ANAT-PYQ-001,TB-BDCHAURASIA-VOL1-8,48,Brachial plexus
Q-ANAT-PYQ-002,TB-BDCHAURASIA-VOL1-8,60,Humerus fractures
Q-ANAT-PYQ-003,TB-BDCHAURASIA-VOL3-8,210,Larynx
Q-ANAT-PYQ-004,TB-BDCHAURASIA-VOL3-8,222,Thyroid gland and triangles of the neck
Q-ANAT-PYQ-005,TB-BDCHAURASIA-VOL3-8,340,Visual pathway
Q-ANAT-PYQ-006,TB-BDCHAURASIA-VOL3-8,352,Circle of Willis and cranial nerve nuclei
Q-ANAT-PYQ-007,TB-SNELL-9,52,Gastrulation and notochord
Q-ANAT-PYQ-008,TB-SNELL-9,64,Pharyngeal arches and fetal circulation
Q-ANAT-PYQ-009,TB-BDCHAURASIA-VOL1-8,180,Heart and coronary arteries
Q-ANAT-PYQ-010,TB-BDCHAURASIA-VOL1-8,192,Bronchopulmonary segments and mediastinum
Q-ANAT-PYQ-011,TB-BDCHAURASIA-VOL2-8,120,Inguinal canal and hernia
Q-ANAT-PYQ-012,TB-BDCHAURASIA-VOL2-8,132,Portal vein and extrahepatic biliary tree
Q-ANAT-PYQ-013,TB-BDCHAURASIA-VOL2-8,28,Femoral triangle and adductor canal
Q-ANAT-PYQ-014,TB-BDCHAURASIA-VOL2-8,40,Sciatic nerve and gluteal region
Q-PHYS-PYQ-001,TB-GUYTON-14,109,Cardiac cycle and heart sounds
Q-PHYS-PYQ-002,TB-GUYTON-14,121,Jugular venous pulse and ECG basics
Q-PHYS-PYQ-003,TB-GUYTON-14,497,Lung volumes and spirometry
Q-PHYS-PYQ-004,TB-GUYTON-14,509,Oxygen transport and hypoxia
Q-PHYS-PYQ-005,TB-GUYTON-14,343,GFR and clearance
Q-PHYS-PYQ-006,TB-GUYTON-14,355,Countercurrent mechanism and ADH
Q-PHYS-PYQ-007,TB-GANONG-26,85,Resting membrane potential and action potential
Q-PHYS-PYQ-008,TB-GANONG-26,97,Synaptic transmission and neuromuscular junction
Q-PHYS-PYQ-009,TB-GUYTON-14,921,Hypothalamo-pituitary axis
Q-PHYS-PYQ-010,TB-GUYTON-14,933,Thyroid hormone synthesis and calcium hormones
Q-PHYS-PYQ-011,TB-GUYTON-14,797,Gastric secretion and motility
Q-PHYS-PYQ-012,TB-GUYTON-14,809,"Bile, pancreas and small-bowel absorption"
Q-BIOC-PYQ-001,TB-VASUDEVAN-9,112,Glycolysis and gluconeogenesis
Q-BIOC-PYQ-002,TB-VASUDEVAN-9,124,Glycogen storage diseases and PPP
Q-BIOC-PYQ-003,TB-VASUDEVAN-9,198,Urea cycle and hyperammonemia
Q-BIOC-PYQ-004,TB-VASUDEVAN-9,210,"Phenylalanine, tyrosine and branched-chain amino acids"
Q-BIOC-PYQ-005,TB-SATYANARAYANA-5,412,DNA replication and repair
Q-BIOC-PYQ-006,TB-SATYANARAYANA-5,424,"Transcription, translation and blotting"
Q-BIOC-PYQ-007,TB-VASUDEVAN-9,386,Water-soluble vitamins
Q-BIOC-PYQ-008,TB-VASUDEVAN-9,398,Fat-soluble vitamins and PEM
Q-BIOC-PYQ-009,TB-VASUDEVAN-9,156,Beta-oxidation and ketone bodies
Q-BIOC-PYQ-010,TB-VASUDEVAN-9,168,Cholesterol synthesis and lipoproteins
Q-PATH-PYQ-001,TB-ROBBINS-10,31,"Cell injury, necrosis and apoptosis"
Q-PATH-PYQ-002,TB-ROBBINS-10,43,"Inflammation, healing and hemodynamic disorders"
Q-PATH-PYQ-003,TB-HARSHMOHAN-8,280,Anemias and megaloblastic change
Q-PATH-PYQ-004,TB-HARSHMOHAN-8,292,Leukemias and lymphomas
Q-PATH-PYQ-005,TB-ROBBINS-10,523,Cardiovascular and renal pathology
Q-PATH-PYQ-006,TB-ROBBINS-10,535,Hepatic and pulmonary pathology
Q-PATH-PYQ-007,TB-ROBBINS-10,267,Carcinogenesis and tumour markers
Q-PATH-PYQ-008,TB-ROBBINS-10,279,Common cancers and paraneoplastic syndromes
Q-MICR-PYQ-001,TB-PANIKER-8,188,Gram-positive pathogens and mycobacteria
Q-MICR-PYQ-002,TB-PANIKER-8,200,Gram-negative and anaerobic bacteria
Q-MICR-PYQ-003,TB-PANIKER-8,440,Hepatitis viruses and HIV
Q-MICR-PYQ-004,TB-PANIKER-8,452,"Herpesviruses, rabies and respiratory viruses"
Q-MICR-PYQ-005,TB-PANIKER-8,612,Malaria and leishmaniasis
Q-MICR-PYQ-006,TB-PANIKER-8,624,Intestinal helminths and hydatid disease
Q-MICR-PYQ-007,TB-PANIKER-8,78,Hypersensitivity and antibodies
Q-MICR-PYQ-008,TB-PANIKER-8,90,Primary immunodeficiencies and transplant
Q-PHAR-PYQ-001,TB-KDTRPATHI-8,92,Cholinergic and anticholinergic drugs
Q-PHAR-PYQ-002,TB-KDTRPATHI-8,104,"Adrenergic agonists, blockers and NMJ drugs"
Q-PHAR-PYQ-003,TB-KDTRPATHI-8,521,Antihypertensives and heart-failure drugs
Q-PHAR-PYQ-004,TB-KDTRPATHI-8,533,Antiarrhythmics and anticoagulants
Q-PHAR-PYQ-005,TB-KDTRPATHI-8,688,"Beta-lactams, vancomycin and anti-TB drugs"
Q-PHAR-PYQ-006,TB-KDTRPATHI-8,700,"Antimalarials, antifungals and stewardship"
Q-PHAR-PYQ-007,TB-KDTRPATHI-8,401,Antiepileptics and benzodiazepines
Q-PHAR-PYQ-008,TB-KDTRPATHI-8,413,"Antidepressants, lithium and antipsychotics"
Q-FMT-PYQ-001,TB-REDDY-34,148,Early signs of death and rigor mortis
Q-FMT-PYQ-002,TB-REDDY-34,160,"Postmortem staining, cooling and injuries"
Q-FMT-PYQ-003,TB-REDDY-34,498,"Corrosives, pesticides and plant poisons"
Q-FMT-PYQ-004,TB-REDDY-34,510,"Asphyxiants, metals and alcohol"
Q-FMT-PYQ-005,TB-REDDY-34,42,"Consent, negligence and inquest"
Q-FMT-PYQ-006,TB-REDDY-34,54,"Injury, dying declaration and IPC sections"
Q-PSM-PYQ-001,TB-PARK-26,58,Measures of disease frequency and study designs
Q-PSM-PYQ-002,TB-PARK-26,70,"Screening, bias and outbreak investigation"
Q-PSM-PYQ-003,TB-PARK-26,786,"Normal distribution, p-value and tests of significance"
Q-PSM-PYQ-004,TB-PARK-26,798,"Sampling, errors and confidence intervals"
Q-PSM-PYQ-005,TB-PARK-26,412,"NTEP, NVBDCP and national disease control"
Q-PSM-PYQ-006,TB-PARK-26,424,"RCH, RKSK and National Health Mission"
Q-PSM-PYQ-007,TB-PARK-26,118,UIP schedule and vaccine types
Q-PSM-PYQ-008,TB-PARK-26,130,"AEFI, cold chain and special situations"
Q-MED-PYQ-001,TB-HARRISON-21,1760,Acute coronary syndromes and heart failure
Q-MED-PYQ-002,TB-HARRISON-21,1772,"Valvular disease, endocarditis and tamponade"
