sheet_key,title,authors,edition
TB-BDCHAURASIA-VOL1-8,Human Anatomy Volume 1 (Upper Limb and Thorax),BD Chaurasia,8th
TB-BDCHAURASIA-VOL2-8,"Human Anatomy Volume 2 (Lower Limb, Abdomen and Pelvis)",BD Chaurasia,8th
TB-BDCHAURASIA-VOL3-8,"Human Anatomy Volume 3 (Head, Neck and Brain)",BD Chaurasia,8th
TB-SNELL-9,Clinical Anatomy by Regions,Richard S. Snell,9th
TB-GUYTON-14,Guyton and Hall Textbook of Medical Physiology,Hall JE,14th
TB-GANONG-26,Ganong's Review of Medical Physiology,Barrett et al.,26th
TB-VASUDEVAN-9,Textbook of Biochemistry for Medical Students,DM Vasudevan,9th
TB-SATYANARAYANA-5,Biochemistry,Satyanarayana and Chakrapani,5th
TB-ROBBINS-10,Robbins and Cotran Pathologic Basis of Disease,"Kumar, Abbas, Aster",10th
TB-HARSHMOHAN-8,Textbook of Pathology,Harsh Mohan,8th
TB-PANIKER-8,Ananthanarayan and Paniker's Textbook of Microbiology,Reba Kanungo,8th
TB-KDTRPATHI-8,Essentials of Medical Pharmacology,KD Tripathi,8th
TB-REDDY-34,The Essentials of Forensic Medicine and Toxicology,KS Narayan Reddy,34th
TB-PARK-26,Park's Textbook of Preventive and Social Medicine,K Park,26th
TB-HARRISON-21,Harrison's Principles of Internal Medicine,Jameson et al.,21st
TB-API-12,API Textbook of Medicine,Yash Pal Munjal,12th
TB-BAILEY-28,Bailey & Love's Short Practice of Surgery,"Williams, O'Connell, McCaskie",28th
TB-SRB-6,SRB's Manual of Surgery,Sriram Bhat M,6th
TB-DUTTA-9,DC Dutta's Textbook of Obstetrics,Hiralal Konar,9th
TB-SHAW-17,Shaw's Textbook of Gynaecology,Padubidri and Daftary,17th
TB-GHAI-9,Ghai Essential Pediatrics,"Vinod K Paul, Arvind Bagga",9th
TB-KHURANA-7,Comprehensive Ophthalmology,AK Khurana,7th
TB-DHINGRA-7,"Diseases of Ear, Nose and Throat",PL Dhingra,7th
TB-MAHESHWARI-6,Essential Orthopaedics,Maheshwari and Mhaskar,6th
TB-NEENAKHANNA-5,Illustrated Synopsis of Dermatology and STDs,Neena Khanna,5th
TB-AHUJA-8,A Short Textbook of Psychiatry,Niraj Ahuja,8th
TB-MORGAN-6,Morgan and Mikhail's Clinical Anesthesiology,Butterworth et al.,6th
TB-SUTTON-7,Textbook of Radiology and Imaging,David Sutton,7th
